text,no_char,transformed_text
Uncle boye. I need movies oh. Guide me. Plus you know torrents are not particularly legal here. And the system is slowing down. What should i do. Have a gr8 day. Plus have you started cos i dont meet you online. How was the honey moon.,235,uncl boy need movi oh guid plu know torrent particularli legal system slow gr8 day plu start co dont meet onlin honey moon
Oh ya ya. I remember da. .,26,oh ya ya rememb da
Btw regarding that we should really try to see if anyone else can be our 4th guy before we commit to a random dude,114,btw regard realli tri see anyon els 4th guy commit random dude
"For ur chance to win å£250 cash every wk TXT: PLAY to 83370. T's&C's www.music-trivia.net custcare 08715705022, 1x150p/wk.",122,ur chanc win cash everi wk txt play c custcar 08715705022
I not busy juz dun wan 2 go so early.. Hee.. ,45,busi juz dun wan 2 go earli hee
Rightio. 11.48 it is then. Well arent we all up bright and early this morning.,78,rightio well arent bright earli morn
"Great. I'm in church now, will holla when i get out",51,great church holla get
Back in brum! Thanks for putting us up and keeping us all and happy. See you soon ,82,back brum thank put us keep us happi see soon
I donno if they are scorable,28,donno scorabl
&lt;#&gt;  great loxahatchee xmas tree burning update: you can totally see stars here,85,lt gt great loxahatche xma tree burn updat total see star
"Yes but i dont care! I need you bad, princess!",46,ye dont care need bad princess
"The guy (kadeem) hasn't been selling since the break, I know one other guy but he's paranoid as fuck and doesn't like selling without me there and I can't be up there til late tonight",183,guy kadeem sell sinc break know one guy paranoid fuck like sell without ca til late tonight
Tmr then Ì_ brin lar... Aiya later i come n c lar... Mayb Ì_ neva set properly Ì_ got da help sheet wif Ì_...,109,tmr brin lar aiya later come n c lar mayb neva set properli got da help sheet wif
Do u knw dis no. &lt;#&gt; ?,28,u knw di lt gt
Then she dun believe wat?,25,dun believ wat
K..give back my thanks.,23,k give back thank
I know complain num only..bettr directly go to bsnl offc nd apply for it..,74,know complain num bettr directli go bsnl offc nd appli
Okay. I've seen it. So i should pick it on friday?,50,okay seen pick friday
How much she payed. Suganya.,28,much pay suganya
Left dessert. U wan me 2 go suntec look 4 u?,44,left dessert u wan 2 go suntec look 4 u
"Abeg, make profit. But its a start. Are you using it to get sponsors for the next event?",88,abeg make profit start use get sponsor next event
Onum ela pa. Normal than.,25,onum ela normal
K.k..how is your sister kids?,29,sister kid
"Cool, I'll text you when I'm on the way",39,cool text way
Nope. Meanwhile she talk say make i greet you.,46,nope meanwhil talk say make greet
i cant talk to you now.i will call when i can.dont keep calling.,64,cant talk call keep call
Anything lar...,15,anyth lar
"Rose needs water, season needs change, poet needs imagination..My phone needs ur sms and i need ur lovely frndship forever....",126,rose need water season need chang poet need imagin phone need ur sm need ur love frndship forev
"Good afternoon, babe. How goes that day ? Any job prospects yet ? I miss you, my love ... *sighs* ... :-(",105,good afternoon babe goe day job prospect yet miss love sigh
They will pick up and drop in car.so no problem..,49,pick drop problem
S.i think he is waste for rr..,30,think wast rr
He is world famamus....,23,world famamu
Is there coming friday is leave for pongal?do you get any news from your work place.,84,come friday leav pongal get news work place
Lol well don't do it without me. We could have a big sale together.,67,lol well without could big sale togeth
* Am on my way,14,way
Eat at old airport road... But now 630 oredi... Got a lot of pple...,68,eat old airport road 630 oredi got lot pple
"sry can't talk on phone, with parents",37,sri ca talk phone parent
Ok lor wat time Ì_ finish?,26,ok lor wat time finish
"Princess, i like to make love  &lt;#&gt;  times per night. Hope thats not a problem!",84,princess like make love lt gt time per night hope that problem
Mm i am on the way to railway,29,mm way railway
"I'm done. I'm sorry. I hope your next space gives you everything you want. Remember all the furniture is yours. If i'm not around when you move it, just lock all the locks and leave the key with jenne.",201,done sorri hope next space give everyth want rememb furnitur around move lock lock leav key jenn
Not yet. Just i'd like to keep in touch and it will be the easiest way to do that from barcelona. By the way how ru and how is the house?,137,yet like keep touch easiest way barcelona way ru hous
"Sppok up ur mob with a Halloween collection of nokia logo&pic message plus a FREE eerie tone, txt CARD SPOOK to 8007",116,sppok ur mob halloween collect nokia logo pic messag plu free eeri tone txt card spook 8007
"Urgent! call 09066612661 from landline. Your complementary 4* Tenerife Holiday or å£10,000 cash await collection SAE T&Cs PO Box 3 WA14 2PX 150ppm 18+ Sender: Hol Offer",168,urgent call 09066612661 landlin complementari 4 tenerif holiday cash await collect sae cs po box 3 wa14 2px 150ppm sender hol offer
K.:)do it at evening da:)urgent:),33,even da urgent
Pansy! You've been living in a jungle for two years! Its my driving you should be more worried about!,101,pansi live jungl two year drive worri
Mm have some kanji dont eat anything heavy ok,45,mm kanji dont eat anyth heavi ok
Only if you promise your getting out as SOON as you can. And you'll text me in the morning to let me know you made it in ok.,124,promis get soon text morn let know made ok
Lol that's different. I don't go trying to find every real life photo you ever took.,84,lol differ go tri find everi real life photo ever took
I dont thnk its a wrong calling between us,42,dont thnk wrong call us
K ill drink.pa then what doing. I need srs model pls send it to my mail id pa.,78,k ill need sr model pl send mail id pa
Aiyah e rain like quite big leh. If drizzling i can at least run home.,70,aiyah e rain like quit big leh drizzl least run home
I have 2 docs appointments next week.:/ I'm tired of them shoving stuff up me. Ugh why couldn't I have had a normal body?,121,2 doc appoint next week tire shove stuff ugh could normal bodi
Dun b sad.. It's over.. Dun thk abt it already. Concentrate on ur other papers k.,81,dun b sad dun thk abt alreadi concentr ur paper k
"Greetings me, ! Consider yourself excused.",42,greet consid excus
No drama Pls.i have had enough from you and family while i am struggling in the hot sun in a strange place.No reason why there should be an ego of not going 'IF NOT INVITED' when actually its necessity to go.wait for very serious reppurcussions.,245,drama enough famili struggl hot sun strang reason ego go invit actual necess seriou reppurcuss
they released another Italian one today and it has a cosign option,66,releas anoth italian one today cosign option
"You at mu? You should try to figure out how much money everyone has for gas and alcohol, jay and I are trying to figure out our weed budget",139,mu tri figur much money everyon ga alcohol jay tri figur weed budget
WINNER! As a valued network customer you hvae been selected to receive a å£900 reward! To collect call 09061701444. Valid 24 hours only. ACL03530150PM,150,winner valu network custom hvae select receiv reward collect call valid 24 hour acl03530150pm
HCL chennai requires FRESHERS for voice process.Excellent english needed.Salary upto  &lt;#&gt; .Call Ms.Suman  &lt;#&gt;  for Telephonic interview -via Indyarocks.com,167,hcl chennai requir fresher voic english upto lt gt lt gt telephon interview
Dai what this da.. Can i send my resume to this id.,51,dai da send resum id
"I know where the  &lt;#&gt;  is, I'll be there around 5",55,know lt gt around 5
Yup i've finished c Ì_ there...,31,yup finish c
Remember to ask alex about his pizza,36,rememb ask alex pizza
No da..today also i forgot..,28,da today also forgot
"Ola would get back to you maybe not today but I ve told him you can be his direct link in the US in getting cars he bids for online, you arrange shipping and you get a cut. Or U????? For a partnership where U????? Invest money for shipping and he takes care of the rest!U??Wud b self reliant soon dnt worry",306,ola would get back mayb today told direct link us get car bid onlin arrang ship get cut u partnership u invest money ship take care rest u wud b self reliant soon dnt worri
Fwiw the reason I'm only around when it's time to smoke is that because of gas I can only afford to be around when someone tells me to be and that apparently only happens when somebody wants to light up,202,fwiw reason around time smoke ga afford around someon tell appar happen somebodi want light
"Hello, my boytoy! I made it home and my constant thought is of you, my love. I hope your having a nice visit but I can't wait till you come home to me ...*kiss*",160,hello boytoy made home constant thought love hope nice visit ca wait till come home kiss
Congrats kano..whr s the treat maga?,36,congrat kano whr treat maga
Who u talking about?,20,u talk
Yup...,6,yup
"U wake up already? Wat u doing? U picking us up later rite? I'm taking sq825, reaching ard 7 smth 8 like dat. U can check e arrival time. C ya soon...",150,u wake alreadi wat u u pick us later rite take sq825 reach ard 7 smth 8 like dat u check e arriv time c ya soon
Yunny i'm walking in citylink now Ì_ faster come down... Me very hungry...,74,yunni walk citylink faster come hungri
Er yep sure. Props?,19,er yep sure prop
"Hiya , have u been paying money into my account? If so, thanks. Got a pleasant surprise when i checked my balance -u c, i don't get statements 4 that acc",153,hiya u pay money account thank got pleasant surpris check balanc c get statement 4 acc
U have won a nokia 6230 plus a free digital camera. This is what u get when u win our FREE auction. To take part send NOKIA to 83383 now. POBOX114/14TCR/W1 16,158,u nokia 6230 plu free digit camera u get u win free auction take part send nokia 83383 16
Ok ill send you with in  &lt;DECIMAL&gt;  ok.,45,ok ill send lt decim gt ok
Bognor it is! Should be splendid at this time of year.,54,bognor splendid time year
Yes.i'm in office da:),22,offic da
Ok. I only ask abt e movie. U wan ktv oso?,42,ask abt e movi u wan ktv oso
Misplaced your number and was sending texts to your old number. Wondering why i've not heard from you this year. All the best in your mcat. Got this number from my atlanta friends,179,misplac number send text old number wonder heard year best mcat got number atlanta friend
Dunno lei... I might b eatin wif my frens... If Ì_ wan to eat then i wait 4 Ì_ lar,82,dunno lei might b eatin wif fren wan eat wait 4 lar
FREE entry into our å£250 weekly comp just send the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk,100,free entri weekli comp send word win 80086 18 c
Do u noe how 2 send files between 2 computers?,46,u noe 2 send file 2 comput
"Mmmmm ... I loved waking to your words this morning ! I miss you too, my Love. I hope your day goes well and you are happy. I wait for us to be together again",158,mmmmm love wake word morn miss love hope day goe well happi wait us togeth
jay says he'll put in  &lt;#&gt;,32,jay say put lt gt
Can you just come in for a sec? There's somebody here I want you to see,71,come sec somebodi want see
So the sun is anti sleep medicine.,34,sun anti sleep medicin
What's happening with you. Have you gotten a job and have you begun registration for permanent residency,104,happen gotten job begun registr perman resid
Yup ok...,9,yup ok
Glad it went well :) come over at 11 then we'll have plenty of time before claire goes to work.,95,glad went well come 11 plenti time clair goe work
Ok enjoy . R u there in home.,29,ok enjoy r u home
"Can you pls pls send me a mail on all you know about relatives coming to deliver here? All you know about costs, risks, benefits and anything else. Thanks.",155,pl pl send mail know rel come deliv know cost risk benefit anyth els thank
You do what all you like,24,like
That's y we haf to combine n c how lor...,41,haf combin n c lor
The monthly amount is not that terrible and you will not pay anything till 6months after finishing school.,106,monthli amount terribl pay anyth till 6month finish school
Hmmm:)how many players selected?,32,hmmm mani player select
"They said if its gonna snow, it will start around 8 or 9 pm tonite! They are predicting an inch of accumulation.",112,said gon na snow start around 8 9 pm tonit predict inch accumul
I dont. Can you send it to me. Plus how's mode.,47,dont send plu mode
Aiyo please Ì_ got time meh.,28,aiyo pleas got time meh
Package all your programs well,30,packag program well
"She is our sister.. She belongs 2 our family.. She is d hope of tomorrow.. Pray 4 her,who was fated 4 d Shoranur train incident. Lets hold our hands together &amp; fuelled by love &amp; concern prior 2 her grief &amp; pain. Pls join in dis chain &amp; pass it. STOP VIOLENCE AGAINST WOMEN.",289,sister belong 2 famili hope tomorrow pray 4 fate 4 shoranur train incid let hold hand togeth amp fuell love amp concern prior 2 grief amp pain pl join di chain amp pass stop violenc women
So are you guys asking that i get that slippers again or its gone with last year,80,guy ask get slipper gone last year
Company is very good.environment is terrific and food is really nice:),70,compani terrif food realli nice
"Text82228>> Get more ringtones, logos and games from www.txt82228.com. Questions: info@txt82228.co.uk",101,text82228 get rington logo game question info
Honestly i've just made a lovely cup of tea and promptly dropped my keys in it and then burnt my fingers getting them out!,122,honestli made love cup tea promptli drop key burnt finger get
Yup but not studying surfing lor. I'm in e lazy mode today.,59,yup studi surf lor e lazi mode today
Please sen :)my kind advice :-)please come here and try:-),58,pleas sen kind advic pleas come tri
I'm done. C Ì_ there.,21,done c
"Oh fine, I'll be by tonight",27,oh fine tonight
ÌÏ give me some time to walk there.,35,ìï give time walk
I'll reach in ard 20 mins ok...,31,reach ard 20 min ok
"FreeMSG You have been awarded a FREE mini DIGITAL CAMERA, just reply SNAP to collect your prize! (quizclub Opt out? Stop 80122300p/wk SP:RWM Ph:08704050406)",156,freemsg award free mini digit camera repli snap collect prize quizclub opt stop sp rwm
Fuck babe ... What happened to you ? How come you never came back?,66,fuck babe happen come never came back
This message is brought to you by GMW Ltd. and is not connected to the,70,messag brought gmw connect
"Some friends want me to drive em someplace, probably take a while",65,friend want drive em someplac probabl take
I also thk too fast... Xy suggest one not me. U dun wan it's ok. Going 2 rain leh where got gd.,95,also thk fast xy suggest one u dun wan go 2 rain leh got gd
Are you still getting the goods.,32,still get good
And maybe some pressies,23,mayb pressi
"Yeah I am, so I'll leave maybe 7ish?",36,yeah leav mayb 7ish
I told her I had a Dr appt next week. She thinks I'm gonna die. I told her its just a check. Nothing to be worried about. But she didn't listen.,144,told dr appt next week think gon na die told check noth worri listen
You in your room? I need a few,30,room need
I dont want to hear anything,28,dont want hear anyth
Hey. For me there is no leave on friday. Wait i will ask my superior and tell you..,83,hey leav friday wait ask superior tell
Ultimately tor motive tui achieve korli.,40,ultim tor motiv tui achiev korli
From 5 to 2 only my work timing.,32,5 2 work time
Û_ and donÛ÷t worry weÛ÷ll have finished by march Û_ ish!,61,worri finish march ish
"The house is on the water with a dock, a boat rolled up with a newscaster who dabbles in jazz flute behind the wheel",116,hous water dock boat roll newscast dabbl jazz flute behind wheel
"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p",160,congrat 2 mobil 3g videophon r call 09063458130 videochat wid ur mate play java game dload polyph music nolin rentl bx420 ip4 5we 150p
Your next amazing xxx PICSFREE1 video will be sent to you enjoy! If one vid is not enough for 2day text back the keyword PICSFREE1 to get the next video.,153,next amaz xxx picsfree1 video sent enjoy one vid enough 2day text back keyword picsfree1 get next video
Now thats going to ruin your thesis!,36,that go ruin thesi
In sch but neva mind u eat 1st lor..,36,sch neva mind u eat 1st lor
Hey whats up? U sleeping all morning?,37,hey what u sleep morn
Erm. I thought the contract ran out the4th of october.,54,erm thought contract ran the4th octob
I dunno until when... Lets go learn pilates...,46,dunno let go learn pilat
U are subscribed to the best Mobile Content Service in the UK for å£3 per ten days until you send STOP to 83435. Helpline 08706091795.,134,u subscrib best mobil content servic uk per ten day send stop helplin 08706091795
Yup i'm elaborating on the safety aspects and some other issues..,65,yup elabor safeti aspect issu
"3 FREE TAROT TEXTS! Find out about your love life now! TRY 3 FOR FREE! Text CHANCE to 85555 16 only! After 3 Free, Msgs å£1.50 each",131,3 free tarot text find love life tri 3 free text chanc 85555 16 3 free msg
"Goodmorning, today i am late for 1hr.",37,goodmorn today late 1hr
Hi happy birthday. Hi hi hi hi hi hi hi,39,hi happi birthday hi hi hi hi hi hi hi
I will be outside office take all from there,44,outsid offic take
If you don't respond imma assume you're still asleep and imma start calling n shit,82,respond imma assum still asleep imma start call n shit
"Aight, see you in a bit",23,aight see bit
My superior telling that friday is leave for all other department except ours:)so it will be leave for you:)any way call waheed fathima hr and conform it:),155,superior tell friday leav depart except leav way call wahe fathima hr conform
Join the UK's horniest Dogging service and u can have sex 2nite!. Just sign up and follow the instructions. Txt ENTRY to 69888 now! Nyt.EC2A.3LP.msg@150p,153,join uk horniest dog servic u sex 2nite sign follow instruct txt entri 69888 150p
Lol I have to take it. member how I said my aunt flow didn't visit for 6 months? It's cause I developed ovarian cysts. Bc is the only way to shrink them.,153,lol take member said aunt flow visit 6 month caus develop ovarian cyst bc way shrink
Still work going on:)it is very small house.,44,still work go small hous
"My friend just got here and says he's upping his order by a few grams (he's got $ &lt;#&gt; ), when can you get here?",117,friend got say up order gram got lt gt get
Tmr timin still da same wat cos i got lesson until 6...,55,tmr timin still da wat co got lesson 6
"ThatÛ÷s the thing with apes, u can fight to the death to keep something, but the minute they have it when u let go, thats it!",126,thing ape u fight death keep someth minut u let go that
No i'm not gonna be able to. || too late notice. || i'll be home in a few weeks anyway. || what are the plans,109,gon na abl late notic home week anyway plan
"Got fujitsu, ibm, hp, toshiba... Got a lot of model how to say...",65,got fujitsu ibm hp toshiba got lot model say
Okie... Thanx...,16,oki thanx
"Gosh that , what a pain. Spose I better come then.",50,gosh pain spose better come
"As usual..iam fine, happy &amp; doing well..:)",46,usual iam fine happi amp well
Okie,4,oki
So when you gonna get rimac access ,35,gon na get rimac access
"\Im at arestaurant eating squid! i will be out about 10:30 wanna dosomething or is that to late?\""""",99,arestaur eat squid wan na dosometh late
You call times job today ok umma and ask them to speed up,57,call time job today ok umma ask speed
"\HELLO U.CALL WEN U FINISH WRK.I FANCY MEETIN UP WIV U ALL TONITE AS I NEED A BREAK FROM DABOOKS. DID 4 HRS LAST NITE+2 TODAY OF WRK!\""""",136,wen u finish fanci meetin wiv u tonit need break dabook 4 hr last today wrk
R U &SAM P IN EACHOTHER. IF WE MEET WE CAN GO 2 MY HOUSE,56,r u sam p eachoth meet go 2 hous
:-) yeah! Lol. Luckily i didn't have a starring role like you!,62,yeah lol luckili star role like
Hello madam how are you ?,25,hello madam
"Awesome, text me when you're restocked",38,awesom text restock
Knock Knock Txt whose there to 80082 to enter r weekly draw 4 a å£250 gift voucher 4 a store of yr choice. T&Cs www.tkls.com age16 to stoptxtstopå£1.50/week,156,knock knock txt whose 80082 enter r weekli draw 4 gift voucher 4 store yr choic cs age16
Yes. It's all innocent fun. O:-),32,ye innoc fun
Thanks for sending this mental ability question..,49,thank send mental abil question
"Sir, hope your day is going smoothly. i really hoped i wont have to bother you about this. I have some bills that i can't settle this month. I am out of all extra cash. I know this is a challenging time for you also but i have to let you know.",243,sir hope day go smoothli realli hope wont bother bill ca settl month extra cash know challeng time also let know
2marrow only. Wed at  &lt;#&gt;  to 2 aha.,42,2marrow wed lt gt 2 aha
I went to ur hon lab but no one is there.,41,went ur hon lab one
Hey pple...$700 or $900 for 5 nights...Excellent location wif breakfast hamper!!!,81,hey pple 700 900 5 night excel locat wif breakfast hamper
<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 40 matches. Please call back on 09056242159 to retrieve your messages and matches cc100p/min,173,forward 21870000 hi mailbox messag sm alert 40 match pleas call back 09056242159 retriev messag match
How come?,9,come
Lol! Nah wasn't too bad thanks. Its good to b home but its been quite a reality check. Hows ur day been? Did u do anything with website?,136,lol nah bad thank good b home quit realiti check how ur day u anyth websit
Ok lor...,9,ok lor
I'm coming home 4 dinner.,25,come home 4 dinner
S da..al r above  &lt;#&gt;,27,da al r lt gt
"FREE RING TONE just text \POLYS\"" to 87131. Then every week get a new tone. 0870737910216yrs only å£1.50/wk.""",109,free ring tone text everi week get new tone 0870737910216yr
Unni thank you dear for the recharge..Rakhesh,45,unni thank dear recharg rakhesh
I know I'm lacking on most of this particular dramastorm's details but for the most part I'm not worried about that,115,know lack particular dramastorm detail part worri
Haha... They cant what... At the most tmr forfeit... haha so how?,65,haha cant tmr forfeit haha
"Hey there! Glad u r better now. I hear u treated urself to a digi cam, is it good? We r off at 9pm. Have a fab new year, c u in coupla wks!",139,hey glad u r better hear u treat urself digi cam good r 9pm fab new year c u coupla wk
No way I'm going back there!,28,way go back
"URGENT! Your mobile No 077xxx WON a å£2,000 Bonus Caller Prize on 02/06/03! This is the 2nd attempt to reach YOU! Call 09066362206 ASAP! BOX97N7QP, 150ppm",154,urgent mobil 077xxx bonu caller prize 2nd attempt reach call 09066362206 asap box97n7qp 150ppm
I WILL CAL YOU SIR. In meeting,30,cal sir meet
"That's what I love to hear :V see you sundayish, then",53,love hear v see sundayish
"Sorry da thangam, very very sorry i am held up with prasad.",59,sorri da thangam sorri held prasad
Tiwary to rcb.battle between bang and kochi.,44,tiwari bang kochi
Thank god they are in bed!,26,thank god bed
No I don't have cancer. Moms making a big deal out of a regular checkup aka pap smear,85,cancer mom make big deal regular checkup aka pap smear
Am in gobi arts college,23,gobi art colleg
Why she wants to talk to me,27,want talk
Pandy joined 4w technologies today.he got job..,47,pandi join 4w technolog got job
"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a å£500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18",147,guarante latest nokia phone 40gb ipod mp3 player prize txt word collect 83355 ibhltd ldnw15h
"They can try! They can get lost, in fact. Tee hee",49,tri get lost fact tee hee
My friends use to call the same.,32,friend use call
"Em, its olowoyey@ usc.edu have a great time in argentina. Not sad about secretary, everything is a blessing",107,em olowoyey great time argentina sad secretari everyth bless
"It,,s a taxt massage....tie-pos argh ok! Lool!",46,taxt massag argh ok lool
"Hi, can i please get a  &lt;#&gt;  dollar loan from you. I.ll pay you back by mid february. Pls.",96,hi pleas get lt gt dollar loan pay back mid februari pl
"You might want to pull out more just in case and just plan on not spending it if you can, I don't have much confidence in derek and taylor's money management",157,might want pull case plan spend much confid derek taylor money manag
Do you like shaking your booty on the dance floor?,50,like shake booti danc floor
"Text me when you get off, don't call, my phones having problems",63,text get call phone problem
No need for the drug anymore.,29,need drug anymor
Sorry da:)i was thought of calling you lot of times:)lil busy.i will call you at noon..,87,sorri da thought call lot time lil call noon
Its sarcasm.. .nt scarcasim,27,sarcasm scarcasim
Great! I have to run now so ttyl!,33,great run ttyl
Feel like trying kadeem again? :V,33,feel like tri kadeem v
Dai  &lt;#&gt;  naal eruku.,27,dai lt gt naal eruku
Not yet chikku..wat abt u?,26,yet chikku wat abt u
Want to finally have lunch today?,33,want final lunch today
Do you know when dad will be back?,34,know dad back
"Hello darling how are you today? I would love to have a chat, why dont you tell me what you look like and what you are in to sexy?",130,hello darl today would love chat dont tell look like sexi
8007 FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W4 5WQ norm 150p/tone 16+,165,8007 free 1st week no1 nokia tone 4 ur mob everi week txt nokia 8007 get txting tell ur mate pobox 36504 w4 5wq norm
He remains a bro amongst bros,29,remain bro amongst bro
R u meeting da ge at nite tmr?,30,r u meet da ge nite tmr
"* Was a nice day and, impressively, i was sensible, went home early and now feel fine. Or am i just boring?! When's yours, i can't remember.",140,nice day impress sensibl went home earli feel fine bore ca rememb
Why de. You looking good only:-)..,34,de look good
Wanna get laid 2nite? Want real Dogging locations sent direct to ur mobile? Join the UK's largest Dogging Network. Txt PARK to 69696 now! Nyt. ec2a. 3lp å£1.50/msg,163,wan na get laid 2nite want real dog locat sent direct ur mobil join uk largest dog network txt park 69696 nyt ec2a 3lp
we tried to contact you re your response to our offer of a new nokia fone and camcorder hit reply or call 08000930705 for delivery,130,tri contact respons offer new nokia fone camcord hit repli call 08000930705 deliveri
Yes. They replied my mail. I'm going to the management office later. Plus will in to bank later also.or on wednesday.,117,ye repli mail go manag offic later plu bank later wednesday
"That's cool, I'll come by like  &lt;#&gt; ish",45,cool come like lt gt ish
Super msg da:)nalla timing.,27,super msg da nalla time
"Good afternoon, my boytoy ... How are you feeling today ? Better I hope? Are you being my good boy? Are you my obedient, slave? Do you please your Queen?",153,good afternoon boytoy feel today better hope good boy obedi slave pleas queen
I am 6 ft. We will be a good combination!,41,6 good combin
I'm sick !! I'm needy !! I want you !! *pouts* *stomps feet* Where are you ?! *pouts* *stomps feet* I want my slave !! I want him now !!,136,sick needi want pout stomp feet pout stomp feet want slave want
* Am on a train back from northampton so i'm afraid not!,56,train back northampton afraid
Where in abj are you serving. Are you staying with dad or alone.,64,abj serv stay dad alon
Was playng 9 doors game and gt racing on phone lol,50,playng 9 door game gt race phone lol
"New Tones This week include: 1)McFly-All Ab.., 2) Sara Jorge-Shock.. 3) Will Smith-Switch.. To order follow instructions on next message",136,new tone week includ 1 ab 2 sara 3 order follow instruct next messag
I'm on da bus going home...,27,da bu go home
I got a call from a landline number. . . I am asked to come to anna nagar . . . I will go in the afternoon,106,got call landlin number ask come anna nagar go afternoon
I'm okay. Chasing the dream. What's good. What are you doing next.,66,okay chase dream good next
Yupz... I've oredi booked slots 4 my weekends liao... ,54,yupz oredi book slot 4 weekend liao
URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid 12hrs only,158,urgent tri contact today draw show prize guarante call 09050003091 land line claim c52 valid 12hr
There r many model..sony ericson also der.. &lt;#&gt; ..it luks good bt i forgot modl no,88,r mani model soni ericson also der lt gt luk good bt forgot modl
Yes I know the cheesy songs from frosty the snowman :),54,ye know cheesi song frosti snowman
"Ya ok, vikky vl c witin  &lt;#&gt; mins and il reply u..",56,ya ok vikki vl c witin lt gt min il repli u
sports fans - get the latest sports news str* 2 ur mobile 1 wk FREE PLUS a FREE TONE Txt SPORT ON to 8007 www.getzed.co.uk 0870141701216+ norm 4txt/120p ,153,sport fan get latest sport news str 2 ur mobil 1 wk free plu free tone txt sport 8007 norm
Hey tmr meet at bugis 930 ?,27,hey tmr meet bugi 930
"Urgent Urgent! We have 800 FREE flights to Europe to give away, call B4 10th Sept & take a friend 4 FREE. Call now to claim on 09050000555. BA128NNFWFLY150ppm",158,urgent urgent 800 free flight europ give away call b4 10th sept take friend 4 free call claim ba128nnfwfly150ppm
All these nice new shirts and the only thing I can wear them to is nudist themed ;_; you in mu?,95,nice new shirt thing wear nudist theme mu
Hey sexy buns! What of that day? No word from you this morning on YM ... :-( ... I think of you,95,hey sexi bun day word morn ym think
And whenever you and i see we can still hook up too.,52,whenev see still hook
Nope but i'm going home now then go pump petrol lor... Like going 2 rain soon...,80,nope go home go pump petrol lor like go 2 rain soon
Can you use foreign stamps for whatever you send them off for? ,63,use foreign stamp whatev send
FROM 88066 LOST å£12 HELP,25,88066 lost help
Oh baby of the house. How come you dont have any new pictures on facebook,73,oh babi hous come dont new pictur facebook
"Feb  &lt;#&gt;  is \I LOVE U\"" day. Send dis to all ur \""VALUED FRNDS\"" evn me. If 3 comes back u'll gt married d person u luv! If u ignore dis u will lose ur luv 4 Evr""",169,feb lt gt love day send di ur valu evn 3 come back u gt marri person u luv u ignor di u lose ur luv 4 evr
"Hiya, sorry didn't hav signal. I haven't seen or heard from and neither has, which is unusual in itself! I'll put on the case and get him to sort it out! Hugs and snogs.",169,hiya sorri hav signal seen heard neither unusu put case get sort hug snog
"Omw back to tampa from west palm, you hear what happened?",57,omw back tampa west palm hear happen
Yup no more already... Thanx 4 printing n handing it up.,56,yup alreadi thanx 4 print n hand
FreeMsg: Fancy a flirt? Reply DATE now & join the UKs fastest growing mobile dating service. Msgs rcvd just 25p to optout txt stop to 83021. Reply DATE now!,156,freemsg fanci flirt repli date join uk fastest grow mobil date servic msg rcvd 25p optout txt stop repli date
What i mean is do they come chase you out when its over or is it stated you can watch as many movies as you want.,113,mean come chase state watch mani movi want
S now only i took tablets . Reaction morning only.,50,took tablet reaction morn
Great NEW Offer - DOUBLE Mins & DOUBLE Txt on best Orange tariffs AND get latest camera phones 4 FREE! Call MobileUpd8 free on 08000839402 NOW! or 2stoptxt T&Cs,160,great new offer doubl min doubl txt best orang tariff get latest camera phone 4 free call mobileupd8 free 08000839402 2stoptxt cs
"Nah, I'm a perpetual DD",23,nah perpetu dd
Sorry de i went to shop.,24,sorri de went shop
Hope you enjoyed your new content. text stop to 61610 to unsubscribe. help:08712400602450p Provided by tones2you.co.uk,118,hope enjoy new content text stop 61610 unsubscrib provid
Hey you still want to go for yogasana? Coz if we end at cine then can go bathe and hav the steam bath,101,hey still want go yogasana coz end cine go bath hav steam bath
Nope i'm not drivin... I neva develop da photos lei...,54,nope drivin neva develop da photo lei
I am thinking of going down to reg for pract lessons.. Flung my advance.. Haha wat time u going?,96,think go reg pract lesson flung advanc haha wat time u go
Cool. I am  &lt;#&gt;  inches long. hope you like them big!,59,cool lt gt inch long hope like big
"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..understand?",166,murder coz man murder lt gt th januari public holiday close includ post offic understand
Okie.. Thanx..,14,oki thanx
Go where n buy? Juz buy when we get there lar.,46,go n buy juz buy get lar
I'm working technical support :)voice process.,46,work technic support voic process
It's justbeen overa week since we broke up and already our brains are going to mush!,84,justbeen overa week sinc broke alreadi brain go mush
"Tunde, how are you doing. This is just wishing you a great day. Abiola.",71,tund wish great day abiola
Nope... C Ì_ then...,20,nope c
No. But we'll do medical missions to nigeria,44,medic mission nigeria
No i am not having not any movies in my laptop,46,movi laptop
